id_mesorregiao,id_municipio,v1006,v0408,v4090,v4300,v0439,v4614
1702,1700400,1,1,110,4,1,180
1702,1700400,1,1,110,4,1,200
1702,1700400,1,4,110,5,2,0
1702,1700400,1,1,110,0,2,151
1702,1700400,1,1,110,2,2,45
1702,1700400,1,1,110,1,,
1702,1700400,1,4,110,0,,
1702,1700400,1,1,110,8,1,620
1702,1700400,1,1,110,10,1,200
1702,1700400,1,1,110,0,,
1702,1700400,1,1,110,0,,
1702,1700400,1,4,110,0,2,110
1702,1700400,1,4,110,0,2,0
1702,1700400,1,4,110,0,,
1702,1700400,1,4,110,0,2,151
1702,1700400,1,4,110,11,1,151
1702,1700400,1,4,110,3,2,0
1702,1700400,1,4,110,2,2,0
1702,1700400,1,4,310,0,2,302
1702,1700400,1,4,110,1,,
1702,1700400,1,4,110,4,1,300
1702,1700400,1,4,110,8,2,0
1702,1700400,1,4,110,0,,
1702,1700400,1,4,110,0,,
1702,1700400,1,4,110,0,,
1702,1700400,1,4,990,8,2,0
1702,1700400,1,4,110,1,2,0
1702,1700400,1,4,110,11,1,400
1702,1700400,1,4,110,8,2,0
1702,1700400,1,4,110,1,,
1702,1700400,1,4,110,0,,
1702,1700400,1,4,110,7,1,60
1702,1700400,1,4,110,7,1,380
1702,1700400,1,4,110,11,1,420
1702,1700400,1,4,110,0,,
1702,1700400,1,4,110,0,,
1702,1700400,1,4,110,0,,
1702,1700400,1,4,110,1,2,151
1702,1700400,1,2,110,0,2,151
1702,1700400,1,4,110,0,2,0
1702,1700400,1,4,110,7,2,0
1702,1700400,1,4,110,7,2,0
1702,1700400,1,9,110,4,1,151
1702,1700400,1,4,110,2,2,0
1702,1700400,1,4,110,2,2,0
1702,1700400,1,4,110,0,,
1702,1700400,1,4,110,1,,
1702,1700400,1,2,110,0,,
1702,1700400,1,4,110,0,2,151
1702,1700400,1,4,310,7,1,60
1702,1700400,1,4,310,6,1,40
1702,1700400,1,4,110,10,1,100
1702,1700400,1,4,110,8,1,70
1702,1700400,1,4,110,6,2,0
1702,1700400,1,4,110,5,2,0
1702,1700400,1,4,110,6,1,400
1702,1700400,1,4,110,6,1,250
1702,1700400,1,4,110,5,1,220
1702,1700400,1,4,110,0,2,302
1702,1700400,1,4,110,7,2,0
1702,1700400,1,4,110,4,1,139
1702,1700400,1,4,110,3,2,0
1702,1700400,1,1,110,10,1,600
1702,1700400,1,1,110,13,1,1300
1702,1700400,1,1,110,0,,
1702,1700400,1,4,110,5,2,50
1702,1700400,1,4,110,1,2,151
1702,1700400,1,1,110,9,2,0
1702,1700400,1,4,110,0,2,151
1702,1700400,1,4,110,1,2,0
1702,1700400,1,4,110,6,1,70
1702,1700400,1,4,110,2,2,0
1702,1700400,1,4,110,2,2,0
1702,1700400,1,4,110,16,2,0
1702,1700400,1,2,110,3,2,0
1702,1700400,1,4,110,4,1,500
1702,1700400,1,4,110,0,2,0
1702,1700400,1,4,110,5,2,0
1702,1700400,1,4,110,6,2,0
1702,1700400,1,4,110,2,,
1702,1700400,1,4,110,2,1,260
1702,1700400,1,4,110,0,1,260
1702,1700400,1,4,110,11,1,400
1702,1700400,1,1,110,6,2,0
1702,1700400,1,1,110,4,2,500
1702,1700400,1,4,110,0,2,150
1702,1700400,1,4,110,0,,
1702,1700400,1,4,110,0,2,0
1702,1700400,1,4,110,3,1,150
1702,1700400,1,4,110,10,2,0
1702,1700400,1,4,110,8,2,0
1702,1700400,1,4,110,6,2,0
1702,1700400,1,4,110,11,2,0
1702,1700400,1,4,110,10,2,0
1702,1700400,1,4,110,10,2,0
1702,1700400,1,4,110,8,2,0
1702,1700400,1,4,110,6,2,0
1702,1700400,1,4,110,7,2,0
1702,1700400,1,4,110,6,2,0
1702,1700400,1,4,110,2,2,0
1702,1700400,1,4,110,4,2,0
1702,1700400,1,4,110,0,,
1702,1700400,1,4,110,0,,
1702,1700400,1,4,110,0,,
1702,1700400,1,4,110,0,,
1702,1700400,1,4,0,5,1,95
1702,1700400,1,4,0,0,2,0
1702,1700400,1,4,110,5,2,0
1702,1700400,1,4,110,3,1,45
1702,1700400,1,4,110,2,2,0
1702,1700400,1,4,110,2,,
1702,1700400,1,4,110,0,1,100
1702,1700400,1,1,110,10,2,0
1702,1700400,1,4,110,6,2,0
1702,1700400,1,4,110,0,,
1702,1700400,1,4,110,3,2,0
1702,1700400,1,4,110,0,2,150
1702,1700400,1,4,110,2,2,0
1702,1700400,1,4,110,4,1,200
1702,1700400,1,4,0,7,1,150
1702,1700400,1,4,0,5,2,0
1702,1700400,1,4,110,3,2,0
1702,1700400,1,4,0,4,2,0
1702,1700400,1,4,0,1,,
1702,1700400,1,4,0,0,,
1702,1700400,1,4,0,0,,
1702,1700400,1,4,110,5,2,0
1702,1700400,1,4,110,3,2,0
1702,1700400,1,4,110,7,2,0
1702,1700400,1,4,110,6,2,0
1702,1700400,1,4,110,0,,
1702,1700400,1,4,110,4,2,0
1702,1700400,1,4,110,6,2,0
1702,1700400,1,1,110,4,2,300
1702,1700400,1,4,110,0,2,0
1702,1700400,1,1,110,0,2,150
1702,1700400,1,4,110,4,2,0
1702,1700400,1,4,110,11,2,0
1702,1700400,1,4,110,0,,
1702,1700400,1,4,110,0,,
1702,1700400,1,4,110,4,2,0
1702,1700400,1,4,110,8,2,0
1702,1700400,1,4,110,10,2,0
1702,1700400,1,4,110,3,1,200
1702,1700400,1,4,110,4,2,0
1702,1700400,1,4,110,10,1,200
1702,1700400,1,4,110,5,2,0
1702,1700400,1,4,110,0,,
1702,1700400,1,4,110,9,2,0
1702,1700400,1,1,110,11,1,300
1702,1700400,1,4,110,4,1,45
1702,1700400,1,4,110,0,,
1702,1700400,1,4,110,3,2,0
1702,1700400,1,4,110,4,2,0
1702,1700400,1,4,110,4,2,0
1702,1700400,1,4,110,1,2,0
1702,1700400,1,4,110,11,1,403
1702,1700400,1,4,110,10,2,0
1702,1700400,1,1,110,0,,
1702,1700400,1,4,110,4,1,119
1702,1700400,1,4,110,0,,
1702,1700400,1,4,110,0,,
1702,1700400,1,2,110,0,2,450
1702,1700400,1,2,110,0,2,150
1702,1700400,1,4,110,2,2,0
1702,1700400,1,4,110,11,1,200
1702,1700400,1,1,110,8,2,0
1702,1700400,1,4,110,6,2,0
1702,1700400,1,4,110,3,2,0
1702,1700400,1,4,110,0,,
1702,1700400,1,4,110,3,2,1000
1702,1700400,1,4,110,3,2,0
1702,1700400,1,4,110,2,2,0
1702,1700400,1,1,110,0,,
1702,1700400,1,4,110,0,2,150
1702,1700400,1,1,110,2,2,150
1702,1700400,1,4,110,1,1,500
1702,1700400,1,4,110,8,2,0
1702,1700400,1,4,110,11,2,0
1702,1700400,1,4,110,10,2,0
1702,1700400,1,4,110,5,2,0
1702,1700400,1,4,110,5,2,0
1702,1700400,1,4,110,0,,
1702,1700400,1,4,110,0,,
1702,1700400,1,4,310,2,2,366
1702,1700400,1,4,310,5,2,0
1702,1700400,1,4,310,11,1,151
1702,1700400,1,4,110,3,2,150
1702,1700400,1,4,110,0,2,0
1702,1700400,1,4,110,1,2,0
1702,1700400,1,4,110,2,,
1702,1700400,1,4,110,0,,
1702,1700400,1,4,110,0,,
1702,1700400,1,4,110,0,,
1702,1700400,1,4,110,0,,
1702,1700400,1,4,310,1,2,150
